Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
4050,4,0,0,34.3,61,0.701,60.78
4100,4,0,0,39.8,60.1,0.701,63.21
4150,4,0,0,36.4,61,0.671,44.22
4200,4,0,0,40.4,59.8,0.701,52.64
4250,4,0,0,41.4,61,0.671,51.02
4300,4,0,0,45.1,60.9,0.681,55.61
4350,4,0,0,49.5,62.4,0.801,51.71
4400,4,0,0,39.3,62,0.701,48.44
4450,4,0,0,39.9,62.4,0.871,39.98
4500,4,0,0,32.3,63.4,0.96,63.03
4550,4,0,0,36.7,60.6,1,54.36
4600,4,0,0,38.6,61.7,0.96,61.63
4650,4,0,0,32.2,61.8,0.96,64
4700,4,0,0,40.8,64,0.9,52.43
4750,4,0,0,39.6,65.3,0.92,61.09
4800,4,0,0,36,63.5,0.8,53.41
4850,4,0,0,36.6,64.3,0.77,51.13
4900,4,0,0,36.1,62.7,0.9,60.87
4950,4,0,0,34,62.3,0.88,62.76
5000,4,0,0,39.9,63.9,0.95,62.9
0,5,0,0,49.5,49.5,0.7,8
50,5,0,0,38.9,51.2,0.7,52.03
100,5,0,0,35.4,50.9,0.61,59.22
150,5,0,0,35.7,50.4,0.85,59.61
200,5,0,0,40.2,49.6,0.98,63.09
250,5,0,0,37.8,48.4,0.99,63.3
300,5,0,0,36.8,47.9,0.99,63.7
350,5,0,0,36.5,47.8,0.98,63.56
400,5,0,0,33.3,48.1,1,59.24
450,5,0,0,32.6,47.7,1,61.61
500,5,0,0,37.9,47.6,0.91,63.8
550,5,0,0,32.3,46.6,0.97,63.7
600,5,0,0,33,46,1,63.8
650,5,0,0,36.8,44.5,0.95,61.76
700,5,0,0,35.9,42.9,0.9,59.63
750,5,0,0,34.7,43,0.8,40.72
800,5,0,0,32.8,42.7,0.81,60.41
850,5,0,0,31.9,41.3,0.88,64
900,5,0,0,33.9,41.2,1,61.39
950,5,0,0,32,39.6,0.99,62.5
1000,5,0,0,33.6,38.8,1,64
1050,5,0,0,33.5,38.6,0.99,63.8
1100,5,0,0,32.4,39,1,63.8
1150,5,0,0,36.1,41.1,0.99,61.4
1200,5,0,0,38.4,41.2,1,63.6
1250,5,0,0,34.1,40.8,0.89,64
1300,5,0,0,34.1,40.1,0.92,62.92
1350,5,0,0,37.6,39.9,0.88,53.57
1400,5,0,0,32.1,39.7,0.87,61.84
1450,5,0,0,35.2,39.1,0.91,60.97
1500,5,0,0,34.5,40.3,0.99,64
1550,5,0,0,33,40.1,1,63.9
1600,5,0,0,34.1,39.9,1,63.8
1650,5,0,0,35,39.4,1,63.6
1700,5,0,0,35.9,40,0.99,64
1750,5,0,0,36.6,39,1,62.64
1800,5,0,0,32.6,39,0.82,62.28
1850,5,0,0,34.2,39.2,0.75,59.98
1900,5,0,0,33.3,37.8,0.79,57.54
1950,5,0,0,34.2,38,0.61,44.28
2000,5,0,0,29,36,0.65,58.24
2050,5,0,0,34.5,34.5,0.45,1.79
2100,5,0,0,35.1,35.1,0.22,0.71
2150,5,0,0,36.1,36.1,0.24,0.62
2200,5,0,0,35.7,35.7,0.23,0.87
2250,5,0,0,36.4,36.4,0.11,0.28
2300,5,0,0,39,39,0.021,0.18
2350,5,0,0,37.5,37.5,0.261,0.98
2400,5,0,0,35.8,36,0.301,0.8
2450,5,0,0,31.9,31.9,0.301,0.82
2500,5,0,0,32.3,32.3,0.451,1.44
2550,5,0,0,32,32,0.391,0.94
2600,5,0,0,33,33,0.431,1.63
2650,5,0,0,33.5,33.5,0.521,1.42
2700,5,0,0,32.6,32.6,0.511,1.54
2750,5,0,0,35,35,0.521,1.63
2800,5,0,0,35.9,35.9,0.601,1.26
2850,5,0,0,35.5,35.5,0.631,2.28
2900,5,0,0,37.2,37.2,0.481,1.51
2950,5,0,0,37.8,37.8,0.361,1.4
3000,5,0,0,37.6,37.6,0.301,1.19
3050,5,0,0,36.4,36.4,0.291,1.16
3100,5,0,0,36.1,36.1,0.491,2.29
3150,5,0,0,35.9,35.9,0.351,0.9
3200,5,0,0,34.5,34.5,0.421,0.97
3250,5,0,0,33.4,33.4,0.411,1.29
3300,5,0,0,33.8,33.8,0.601,2.41
3350,5,0,0,31.4,31.4,0.611,1.26
3400,5,0,0,34,34,0.761,2.53
3450,5,0,0,34.3,34.3,0.591,2.48
3500,5,0,0,33.7,33.8,0.721,5.7
3550,5,0,0,34,34,0.721,3.82
3600,5,0,0,33,33,0.701,2.7
3650,5,0,0,31.6,31.6,0.481,1.92
3700,5,0,0,32.4,32.4,0.521,1.58
3750,5,0,0,32,32,0.581,2.01
3800,5,0,0,31.5,31.5,0.601,1.81
3850,5,0,0,33.2,33.2,0.551,1.51
3900,5,0,0,34,34,0.521,1.58
3950,5,0,0,35.8,35.8,0.581,1.16
4000,5,0,0,34.7,34.7,0.261,0.94
4050,5,0,0,35.7,35.7,0.461,1.26
4100,5,0,0,36.4,36.4,0.491,2.34
4150,5,0,0,36.5,36.5,0.651,2.69
4200,5,0,0,35.8,35.8,0.661,3.28
4250,5,0,0,35,35,0.691,2.13
4300,5,0,0,34.9,34.9,0.851,6.03
4350,5,0,0,34.8,34.8,0.801,8.36
4400,5,0,0,33.1,33.1,0.801,5.12
4450,5,0,0,34,34,0.861,6.42
4500,5,0,0,32,32,0.791,4.04
4550,5,0,0,32.1,32.1,0.871,6.48
4600,5,0,0,32.1,32.1,0.911,5.38
4650,5,0,0,33,33,0.8,3.58
4700,5,0,0,33.2,33.2,0.88,4.47
4750,5,0,0,33.1,33.1,0.58,1.18
4800,5,0,0,33.2,33.2,0.51,1.18
4850,5,0,0,32.3,32.3,0.7,2.81
4900,5,0,0,31.5,31.5,0.8,3.56
4950,5,0,0,31.6,31.6,0.8,4.06
5000,5,0,0,30.2,30.2,0.99,7.68
0,6,0,0,51.2,51.2,0.7,8
50,6,0,0,39.5,51.4,0.76,61.39
100,6,0,0,34.7,52.7,0.78,56.24
150,6,0,0,32.4,51.6,0.51,48.86
200,6,0,0,38,51,0.6,47.39
250,6,0,0,34.2,50.9,0.67,49.92
300,6,0,0,52.1,52.4,0.23,1.47
350,6,0,0,52,52.1,0.31,1.02
400,6,0,0,45.5,51.8,0.32,30.71
450,6,0,0,47.9,50.3,0.27,1.59
500,6,0,0,49.8,50,0.25,0.78
550,6,0,0,49,49,0.17,0.31
600,6,0,0,46.9,46.9,0.13,0.38
650,6,0,0,47,47,0.1,0.23
700,6,0,0,45.9,45.9,0.031,0.18
750,6,0,0,45.9,46.1,0.001,0.13
800,6,0,0,47,47,0.001,0.2
850,6,0,0,47.4,47.4,0.201,0.36
900,6,0,0,47,47.1,0.271,0.89
950,6,0,0,47.3,47.7,0.251,2.11
1000,6,0,0,48.7,49,0.101,0.49
1050,6,0,0,49.3,49.3,0.021,0.14
1100,6,0,0,48.2,48.5,0.031,0.31
1150,6,0,0,49.9,50,0.001,0.18
1200,6,0,0,48,48,0.021,0.19
1250,6,0,0,48.8,48.8,0.211,0.89
1300,6,0,0,49.8,49.8,0.211,0.77
1350,6,0,0,48.8,48.8,0.221,0.41
1400,6,0,0,43.5,50.8,0.361,44.5
1450,6,0,0,47.3,53.2,0.481,37.08
1500,6,0,0,41.1,52,0.371,56.54
1550,6,0,0,49.5,51.7,0.251,1.88
1600,6,0,0,38.1,51.9,0.501,60.54
1650,6,0,0,35.3,52.2,0.591,59.9
1700,6,0,0,32.8,52.9,0.681,62.87
1750,6,0,0,34.6,52.4,0.641,58.99
1800,6,0,0,41.3,50.8,0.701,57.81
1850,6,0,0,39.7,50.6,0.661,64
1900,6,0,0,33.1,49.1,0.701,39.48
1950,6,0,0,42.4,48.9,0.651,52.47
2000,6,0,0,31,48,0.671,45.98
2050,6,0,0,40.6,48,0.601,43.94
2100,6,0,0,34.3,47,0.601,62.02
2150,6,0,0,38,47.7,0.801,60.37
2200,6,0,0,38.4,46.5,0.761,44.84
2250,6,0,0,35.5,46,0.881,58.12
2300,6,0,0,36.8,45.7,0.94,63.5
2350,6,0,0,37.7,46.7,0.91,62.39
2400,6,0,0,37.7,45,0.83,38.68
2450,6,0,0,33.7,44.9,0.79,64
2500,6,0,0,36.3,45,0.65,57.18
2550,6,0,0,34.7,45.9,0.83,64
2600,6,0,0,35.1,44.1,0.77,64
2650,6,0,0,37.1,43.6,0.84,42.46
2700,6,0,0,36,45,0.77,44.07
2750,6,0,0,40.3,44.1,1,61.13
2800,6,0,0,33.2,44.1,1,63.28
2850,6,0,0,35.6,44.2,0.99,62.48
2900,6,0,0,32.5,43.8,0.96,63.6
2950,6,0,0,29.8,44.5,0.9,63.9
3000,6,0,0,33.7,44.8,0.89,48.88
3050,6,0,0,36.6,45.1,0.96,59.62
3100,6,0,0,34.4,44.9,0.79,44.9
3150,6,0,0,36.2,44.6,0.8,60.51
3200,6,0,0,35.3,44.4,0.9,63.63
3250,6,0,0,38.6,44,0.92,62.32
3300,6,0,0,34.3,44.1,0.9,58.01
3350,6,0,0,39.1,43.9,0.74,61.41
3400,6,0,0,30.8,43,0.74,61.53
3450,6,0,0,32.7,43.1,0.79,57.29
3500,6,0,0,34.9,41.2,0.75,46.58
3550,6,0,0,34.4,41.3,0.81,61.44
3600,6,0,0,33.6,43,0.8,54.76
3650,6,0,0,34.4,43.7,0.69,42.81
3700,6,0,0,33.5,44.3,0.8,63.81
